序号	地址	合约名称	检测类型	CREATE数	CREATE2数	执行时间(ms)
1	0x16ebbbb0fd0b99967af4a589314a4f1836c0eebc	MytokenFactory	CREATE_ONLY	1	0	68
2	0x182b7edb95135c9275bbb794b6020a63ec493979	BatchMintFactory	CREATE_ONLY	1	0	1
3	0x1ec760fbd180a7e4918f34152ace0f3b0beca200	Messenger	CREATE_ONLY	1	0	97
4	0x43795e914beb0d1a4b273b6b8d921dad44ec8f81	Juniper	CREATE2_ONLY	0	1	15
5	0x4e0ae6a15d930fc89a8356b1e0fc355329313dec	AIFLAME1	CREATE_ONLY	1	0	11
6	0x5b39a481bf3833518014d140b913a03aa956c2c6	BatchMintTenYearsNFT	CREATE_ONLY	1	0	1
7	0x5f1ef77b3f4c11fd50a0402f5eac86fb920b5d5a	AATPresale	CREATE2_ONLY	0	1	53
8	0x675ab00c4e3ff1ee763137604ca8f36c6838dbe9	DomainRoutingIsmFactory	CREATE_ONLY	1	0	0
9	0x6d86e31a055a97507b02bd45c7715e1c35a2b25a	Multimint	CREATE_ONLY	1	0	0
10	0x6e3def56ecc9e0696fe88c8cad5975581bc005bf	MavrkTokenFactory	CREATE_ONLY	1	0	8
11	0x6f2ec97fe37884b4249324a93b7c0d57bdef6396	PumpFactory	CREATE_ONLY	1	0	137
12	0x73a217ec3113f1edad121a00b0ffcc7c383c4854	GoldfinchConfig	CREATE_ONLY	1	0	5
13	0x7b9ac8f4f69e8c5ad8354d380fa9aa00a6ee9c83	PUNK	CREATE2_ONLY	0	1	8
14	0x804fa4f383f508600074719d19263645fa450b68	Statix	BOTH_CREATE_CREATE2	1	2	183
15	0x9930758707c7fc7e80c8a177f60b866f2543c0d3	BeamWalletToken	CREATE_ONLY	1	0	125
16	0x9ee23c81fc1420e88af6a333044fac3f2e98297f	DeployContract	CREATE_ONLY	1	0	71
17	0xb307b9365587f7cf0704c329b5899efa102ed5f3	McGooTokenFactory	CREATE_ONLY	1	0	120
18	0xbf8da775beee6283d68b38274389de6bb979750b	DeployContract	CREATE_ONLY	1	0	103
19	0xc7457cd7b78b2f8609a964a3a41d69dc7606a1ec	DomainRoutingIsmFactory	CREATE_ONLY	1	0	0
20	0xdaff2b9e218f88d2a9a3083b8a93aa7b7232b4c9	CharlieERC	CREATE_ONLY	1	0	60
21	0xdebe9763575cccfab6a915b25c9e59928be32806	SMH12	CREATE2_ONLY	0	1	5
22	0xe6974699eea9e75f573b166e1d21e43a9c54ffe6	Messenger	CREATE_ONLY	1	0	99
23	0xe911814dabb9e80cbff2f5f2c2e920c5a766d77c	IWNG	CREATE_ONLY	1	0	12
24	0xffb27d018b86cb835b2d4b23b314bda4d0f5659c	PFTDeployer	CREATE_ONLY	1	0	131
